"order_id","order_date","order_total","user_type","product_id","variation_id","quantity","coupon","meta.yarn_usage"
"22336",2021-03-22,47.78,"guest","13654","16071",1,NA,"tufting"
"22336",2021-03-22,47.78,"guest","19107","19110",1,NA,"tufting"
"22335",2021-03-22,63.81,"guest","6854","20773",1,NA,"crocheting"
"22335",2021-03-22,63.81,"guest","6854","20773",1,NA," indie dyeing"
"22335",2021-03-22,63.81,"guest","6854","7124",2,NA,"crocheting"
"22335",2021-03-22,63.81,"guest","6854","7124",2,NA," indie dyeing"
"22334",2021-03-22,620.86,"guest","2563","9213",12,NA,"weaving"
"22334",2021-03-22,620.86,"guest","3680","13155",15,NA,"weaving"
"22333",2021-03-21,70.28,"guest","21095","21099",4,"1signup","hand knitting"
"22332",2021-03-21,30.51,"guest","20468","20686",1,NA,"resale"
"22331",2021-03-21,53.55,"guest","11161","19655",1,"1signup","weaving"
"22331",2021-03-21,53.55,"guest","2698","2701",2,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","11161","12660",1,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","16440","16448",1,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","16440","19374",1,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","16440","19692",1,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","6854","20772",1,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","6854","20773",1,"1signup","weaving"
"22330",2021-03-21,122.82,"registered customer","6854","20774",1,"1signup","weaving"
"22329",2021-03-20,23.6,"guest","17032","18375",1,"1signup","hand knitting"
"22328",2021-03-19,372.74,"guest","20986","20991",3,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","2563","9213",2,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","2563","9217",4,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","2563","9222",2,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","7860","9245",2,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","7860","9246",3,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","7860","9247",3,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","7860","9248",1,NA,"hand knitting"
"22328",2021-03-19,372.74,"guest","9625","13165",1,NA,"hand knitting"
"22327",2021-03-19,109.96,"registered customer","16934","21585",1,NA,"weaving"
"22327",2021-03-19,109.96,"registered customer","16934","21585",1,NA," crocheting"
"22327",2021-03-19,109.96,"registered customer","17955","19802",1,NA,"weaving"
"22327",2021-03-19,109.96,"registered customer","17955","19802",1,NA," crocheting"
"22327",2021-03-19,109.96,"registered customer","21000","21002",1,NA,"weaving"
"22327",2021-03-19,109.96,"registered customer","21000","21002",1,NA," crocheting"
"22316",2021-03-18,46.7,"guest","19175","19177",1,NA,NA
"22316",2021-03-18,46.7,"guest","19175","19178",1,NA,NA
"22301",2021-03-16,42.4,"registered customer","605","1049",2,NA,"crocheting"
"22246",2021-03-16,63.58,"registered customer","14587","14589",4,NA,"other"
"22246",2021-03-16,63.58,"registered customer","2382","2384",2,NA,"other"
"22245",2021-03-15,117.59,"registered customer","1987","2013",4,NA,"hand knitting"
"22245",2021-03-15,117.59,"registered customer","1987","2013",4,NA," crocheting"
"22245",2021-03-15,117.59,"registered customer","1987","3083",1,NA,"hand knitting"
"22245",2021-03-15,117.59,"registered customer","1987","3083",1,NA," crocheting"
"22245",2021-03-15,117.59,"registered customer","20204","20206",1,NA,"hand knitting"
"22245",2021-03-15,117.59,"registered customer","20204","20206",1,NA," crocheting"
"22244",2021-03-15,366.28,"guest","1739","17063",4,NA,"machine knitting"
"22244",2021-03-15,366.28,"guest","21000","21786",6,NA,"machine knitting"
"22244",2021-03-15,366.28,"guest","3680","21888",4,NA,"machine knitting"
"22243",2021-03-15,380.13,"guest","18977","18979",3,"1signup","machine knitting"
"22243",2021-03-15,380.13,"guest","18977","19486",10,"1signup","machine knitting"
"22242",2021-03-15,135.88,"registered customer","20506","21491",2,NA,NA
"22242",2021-03-15,135.88,"registered customer","20506","21492",2,NA,NA
"22242",2021-03-15,135.88,"registered customer","20506","21495",2,NA,NA
"22242",2021-03-15,135.88,"registered customer","20506","21961",2,NA,NA
"22241",2021-03-13,112.11,"registered customer","12984","15701",1,"1signup",NA
"22241",2021-03-13,112.11,"registered customer","12984","15704",1,"1signup",NA
"22241",2021-03-13,112.11,"registered customer","16246","16254",1,"1signup",NA
"22241",2021-03-13,112.11,"registered customer","16756","16766",1,"1signup",NA
"22241",2021-03-13,112.11,"registered customer","17088","9999",1,"1signup",NA
"22240",2021-03-12,38.06,"guest",NA,NA,NA,NA,NA
"22239",2021-03-12,131.51,"registered customer","16934","21585",12,NA,NA
"22238",2021-03-11,44.54,"guest","21998","22007",1,NA,NA
"22238",2021-03-11,44.54,"guest","21998","22009",1,NA,NA
"22236",2021-03-10,119.67,"registered customer","1739","2560",1,NA,NA
"22236",2021-03-10,119.67,"registered customer","18354","18355",1,NA,NA
"22236",2021-03-10,119.67,"registered customer","21429","21435",1,NA,NA
"22236",2021-03-10,119.67,"registered customer","6342","16875",1,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","17166","17204",1,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","18963","18964",2,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","18963","18966",2,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","18963","18968",2,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","20506","21486",1,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","20506","21487",1,NA,NA
"22224",2021-03-10,256.8,"wholesale buyer","20506","21495",3,NA,NA
"22223",2021-03-10,121.88,"registered customer","10060","10061",1,NA,NA
"22223",2021-03-10,121.88,"registered customer","16756","16766",1,NA,NA
"22223",2021-03-10,121.88,"registered customer","1987","19421",1,NA,NA
"22223",2021-03-10,121.88,"registered customer","1987","2013",1,NA,NA
"22223",2021-03-10,121.88,"registered customer","1987","21164",1,NA,NA
"22223",2021-03-10,121.88,"registered customer","5605","5680",1,NA,NA
"22223",2021-03-10,121.88,"registered customer","9841","9845",1,NA,NA
"22222",2021-03-10,76.76,"guest","18963","18964",2,NA,NA
"22222",2021-03-10,76.76,"guest","18963","18967",2,NA,NA
"22221",2021-03-10,39.15,"registered customer","13654","16074",1,"1signup",NA
"22221",2021-03-10,39.15,"registered customer","605","1049",1,"1signup",NA
"22219",2021-03-09,91.65,"registered customer","16614","16621",1,NA,NA
"22219",2021-03-09,91.65,"registered customer","16614","16629",1,NA,NA
"22219",2021-03-09,91.65,"registered customer","9625","13165",1,NA,NA
"22218",2021-03-08,221.87,"wholesale buyer","1058","3382",2,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22036",3,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22037",3,"happyspring",NA
