"user_id","role"
2673,"subscriber"
2673,"wholesalebuyer"
2672,"customer"
2671,"subscriber"
2671,"wholesalebuyer"
2670,"customer"
2669,"customer"
2668,"customer"
2667,"customer"
2666,"subscriber"
2666,"wholesalebuyer"
2665,"subscriber"
2665,"wholesalebuyer"
2664,"subscriber"
2664,"wholesalebuyer"
2663,"customer"
2662,"customer"
2661,"subscriber"
2661,"wholesalebuyer"
2660,"subscriber"
2660,"wholesalebuyer"
2659,"customer"
2658,"customer"
2657,"subscriber"
2657,"wholesalebuyer"
2656,"customer"
2655,"customer"
2654,"customer"
2653,"customer"
2652,"customer"
2651,"subscriber"
2651,"wholesalebuyer"
2650,"customer"
2649,"customer"
2648,"customer"
2647,"customer"
2646,"customer"
2645,"customer"
2644,"customer"
2643,"subscriber"
2643,"wholesalebuyer"
2642,"subscriber"
2642,"wholesalebuyer"
2641,"customer"
2640,"customer"
2639,"customer"
2638,"customer"
2637,"customer"
2636,"subscriber"
2636,"wholesalebuyer"
2635,"customer"
2634,"customer"
2633,"customer"
2632,"customer"
2631,"subscriber"
2631,"wholesalebuyer"
2630,"subscriber"
2630,"wholesalebuyer"
2629,"customer"
2628,"customer"
2627,"customer"
2626,"subscriber"
2626,"wholesalebuyer"
2624,"customer"
2623,"customer"
2622,"customer"
2621,"customer"
2620,"customer"
2619,"customer"
2618,"customer"
2617,"subscriber"
2617,"wholesalebuyer"
2616,"customer"
2616,"wholesalebuyer"
2615,"customer"
2614,"customer"
2613,"customer"
2612,"customer"
2611,"customer"
2610,"customer"
2609,"customer"
2608,"customer"
2607,"subscriber"
2607,"wholesalebuyer"
2606,"customer"
2605,"customer"
2604,"customer"
2603,"customer"
2602,"customer"
2601,"customer"
2600,"customer"
2599,"customer"
2598,"customer"
2597,"customer"
2596,"customer"
2595,"subscriber"
2595,"wholesalebuyer"
2594,"customer"
2593,"subscriber"
2593,"wholesalebuyer"
2592,"customer"
2591,"customer"
2590,"customer"
2589,"customer"
2588,"subscriber"
2588,"wholesalebuyer"
2587,"subscriber"
2587,"wholesaletaxfree"
2586,"administrator"
2585,"customer"
2584,"subscriber"
2584,"wholesalebuyer"
2583,"customer"
2582,"customer"
2581,"customer"
2580,"customer"
2579,"customer"
2578,"subscriber"
2578,"wholesalebuyer"
2577,"customer"
2576,"customer"
2575,"subscriber"
2575,"wholesalebuyer"
2574,"customer"
2573,"customer"
2572,"customer"
2571,"customer"
2570,"customer"
2569,"subscriber"
2569,"wholesalebuyer"
2568,"subscriber"
2568,"wholesalebuyer"
2567,"subscriber"
2567,"wholesalebuyer"
2566,"subscriber"
2566,"wholesalebuyer"
2565,"customer"
2564,"customer"
2563,"subscriber"
2563,"wholesalebuyer"
2562,"subscriber"
2562,"wholesalebuyer"
2561,"subscriber"
2561,"wholesalebuyer"
2560,"subscriber"
2560,"wholesalebuyer"
2559,"customer"
2558,"customer"
2557,"customer"
2556,"customer"
2555,"customer"
2554,"customer"
2553,"subscriber"
2553,"wholesalebuyer"
2552,"customer"
2551,"customer"
2550,"customer"
2549,"customer"
2548,"customer"
2547,"customer"
2546,"customer"
2545,"customer"
2544,"customer"
2543,"customer"
2542,"customer"
2541,"subscriber"
2541,"wholesalebuyer"
2540,"customer"
2539,"customer"
2538,"customer"
2537,"customer"
2536,"customer"
2535,"customer"
2534,"customer"
2533,"customer"
2532,"customer"
2531,"customer"
2530,"customer"
2529,"customer"
2528,"customer"
2527,"subscriber"
2527,"wholesalebuyer"
2526,"subscriber"
2526,"wholesalebuyer"
2525,"subscriber"
2525,"wholesalebuyer"
2524,"customer"
2523,"customer"
2522,"subscriber"
2522,"wholesalebuyer"
2521,"subscriber"
2521,"wholesalebuyer"
2520,"customer"
2519,"customer"
2518,"customer"
2517,"customer"
2516,"customer"
2515,"customer"
2514,"customer"
2513,"customer"
2513,"wholesalebuyer"
2512,"customer"
2511,"subscriber"
2511,"wholesalebuyer"
2510,"customer"
2509,"customer"
2508,"customer"
2507,"customer"
2506,"customer"
2505,"subscriber"
2505,"wholesalebuyer"
2504,"customer"
2503,"customer"
2502,"subscriber"
2502,"wholesalebuyer"
2501,"customer"
2500,"customer"
2499,"customer"
2498,"customer"
2497,"customer"
2496,"customer"
2495,"customer"
2494,"customer"
2493,"customer"
2492,"customer"
2491,"customer"
2490,"customer"
2489,"customer"
2488,"customer"
2487,"customer"
2486,"subscriber"
2486,"wholesalebuyer"
2485,"customer"
2484,"customer"
2483,"customer"
2482,"customer"
2481,"subscriber"
2481,"wholesalebuyer"
2480,"subscriber"
2480,"wholesalebuyer"
2478,"customer"
2477,"customer"
2476,"customer"
2475,"customer"
2474,"customer"
2473,"customer"
2472,"subscriber"
2472,"wholesalebuyer"
2471,"customer"
2470,"customer"
2469,"customer"
2468,"subscriber"
2468,"wholesalebuyer"
2467,"customer"
2466,"customer"
2465,"customer"
