"order_id","order_date","order_total","customer_id","billing_company"
"22336",2021-03-22,47.78,"364",NA
"22335",2021-03-22,63.81,"262",NA
"22334",2021-03-22,620.86,"267",NA
"22333",2021-03-21,70.28,"331",NA
"22332",2021-03-21,30.51,"388",NA
"22331",2021-03-21,53.55,"332",NA
"22330",2021-03-21,122.82,"215","henbonfiberwerks"
"22329",2021-03-20,23.6,"27",NA
"22328",2021-03-19,372.74,"476",NA
"22327",2021-03-19,109.96,"416",NA
"22316",2021-03-18,46.7,"33",NA
"22301",2021-03-16,42.4,"490",NA
"22246",2021-03-16,63.58,"95","color burst silk"
"22245",2021-03-15,117.59,"490",NA
"22244",2021-03-15,366.28,"139",NA
"22243",2021-03-15,380.13,"349","maria dora llc"
"22242",2021-03-15,135.88,"431",NA
"22241",2021-03-13,112.11,"257",NA
"22240",2021-03-12,38.06,"384",NA
"22239",2021-03-12,131.51,"105",NA
"22238",2021-03-11,44.54,"532",NA
"22236",2021-03-10,119.67,"459",NA
"22224",2021-03-10,256.8,"253","saori santa cruz"
"22223",2021-03-10,121.88,"355",NA
"22222",2021-03-10,76.76,"117",NA
"22221",2021-03-10,39.15,"490",NA
"22219",2021-03-09,91.65,"519","klaus and alfred"
"22218",2021-03-08,221.87,"91","do it yarns"
"22206",2021-03-08,464.23,"483","the stitch witch"
"22205",2021-03-08,181.97,"408","treasured forever fiber studio"
"22204",2021-03-08,60.57,"103","backstreetgardens"
"22203",2021-03-07,119.91,"153",NA
"22202",2021-03-07,24.57,"326","the wool farm"
"22201",2021-03-05,55.53,"177",NA
"22200",2021-03-05,89.8,"32",NA
"22198",2021-03-05,61.54,"39",NA
"22197",2021-03-05,39.14,"344",NA
"22195",2021-03-05,63.55,"426",NA
"22192",2021-03-05,196.63,"41",NA
"22191",2021-03-05,189.01,"202","great crochet"
"22190",2021-03-05,52.47,"325","lori's lovelies"
"22189",2021-03-05,103.31,"104",NA
"22164",2021-03-04,62.64,"395",NA
"22163",2021-03-04,568.32,"476",NA
"22149",2021-03-03,180.19,"87",NA
"22148",2021-03-02,1194.26,"476",NA
"22142",2021-03-02,71.24,"293",NA
"22118",2021-03-02,112.75,"253","saori santa cruz"
"22104",2021-03-02,59.5,"444",NA
"22103",2021-03-02,141.76,"146",NA
"22099",2021-03-01,79.96,"289","weaver farm"
"22098",2021-03-01,72.44,"150",NA
"22097",2021-03-01,354.79,"79","cece's wool"
"22096",2021-03-01,124.78,"290",NA
"22095",2021-02-28,20,"92","siddhi soul dba coastal craft supply co."
"22094",2021-02-28,174.8,"497","renaissance"
"22093",2021-02-28,112.14,"157",NA
"22092",2021-02-28,78.07,"282",NA
"22091",2021-02-28,91.99,"445",NA
"22090",2021-02-27,183.93,"315",NA
"22089",2021-02-27,57.36,"102",NA
"22088",2021-02-26,210.35,"482",NA
"22086",2021-02-26,115.06,"290",NA
"22085",2021-02-26,27.27,"246",NA
"22066",2021-02-26,57.33,"487",NA
"22065",2021-02-26,70.29,"106",NA
"22064",2021-02-26,38.06,"150",NA
"22060",2021-02-26,24.54,"496",NA
"22058",2021-02-25,63.81,"246",NA
"22057",2021-02-25,42.38,"523",NA
"22056",2021-02-25,337.72,"237",NA
"22055",2021-02-25,160.61,"482",NA
"22054",2021-02-24,40.02,"76",NA
"22053",2021-02-24,56.97,"174",NA
"22052",2021-02-23,67.05,"431",NA
"22051",2021-02-23,26.19,"62",NA
"22046",2021-02-22,26.99,"276","stones throw custom weaving"
"22045",2021-02-22,65.97,"254",NA
"22035",2021-02-22,223.47,"183",NA
"21959",2021-02-21,135.45,"488",NA
"21958",2021-02-20,97.03,"453",NA
"21957",2021-02-19,87.56,"184",NA
"21943",2021-02-17,44.54,"152",NA
"21942",2021-02-17,112.2,"57",NA
"21941",2021-02-16,52.8,"414",NA
"21938",2021-02-15,30.51,"388","emily keller llc"
"21937",2021-02-15,333.33,"16",NA
"21932",2021-02-15,118.3,"219","hot off the loom"
"21931",2021-02-14,254.08,"91","do it yarns"
"21930",2021-02-14,113.08,"345",NA
"21929",2021-02-14,183.2,"253","saori santa cruz"
"21928",2021-02-14,732.33,"253","saori santa cruz"
"21927",2021-02-14,246.25,"94",NA
"21926",2021-02-14,133.74,"174",NA
"21925",2021-02-13,178.21,"559",NA
"21923",2021-02-13,202.98,"185","frittelli & lockwood"
"21922",2021-02-13,39.07,"532",NA
"21851",2021-02-12,195.62,"397",NA
"21850",2021-02-12,143.24,"514","fiber floozie crafts"
"21849",2021-02-12,73.21,"409",NA
"21848",2021-02-12,37.19,"547",NA
"21847",2021-02-12,270.51,"512","the chunky weft llc"
"21846",2021-02-12,83.97,"297",NA
"21845",2021-02-11,105.85,"479","loom & essence"
"21844",2021-02-11,179.49,"456","seal and associates"
"21843",2021-02-11,64.46,"125","malgorzata's"
"21842",2021-02-11,432.86,"98","mostrom and chase handweavers"
"21841",2021-02-11,316.8,"91","do it yarns"
"21840",2021-02-11,39.12,"133",NA
"21839",2021-02-11,118.44,"207","hard boiled designs"
"21837",2021-02-10,144.58,"428",NA
"21834",2021-02-10,75.66,"456","seal and associates"
"21827",2021-02-09,170.4,"476",NA
"21826",2021-02-09,182.1,"252",NA
"21824",2021-02-09,406.42,"546",NA
"21816",2021-02-09,135.71,"533",NA
"21721",2021-02-09,40.24,"200",NA
"21720",2021-02-08,150.99,"105",NA
"21719",2021-02-08,307.58,"303","laughing spirits"
"21718",2021-02-07,38.06,"9",NA
"21717",2021-02-06,24.03,"138",NA
"21716",2021-02-05,26.19,"417",NA
"21715",2021-02-05,188.4,"35","aella product group"
"21714",2021-02-04,97.58,"136","silver state"
"21713",2021-02-04,440.88,"377","fork mountain handworks"
"21712",2021-02-04,78.5,"335","this here farm"
"21710",2021-02-04,108.27,"435",NA
"21700",2021-02-03,38.06,"431",NA
"21699",2021-02-03,189.85,"476",NA
"21697",2021-02-03,39.16,"417",NA
"21696",2021-02-02,334.05,"301",NA
"21695",2021-02-02,78.92,"292",NA
"21689",2021-02-02,134.96,"174",NA
"21674",2021-02-01,58.42,"6",NA
"21672",2021-01-30,41.98,"197",NA
"21671",2021-01-30,40.24,"69","carol gingrich designs"
"21670",2021-01-30,69.21,"30",NA
"21666",2021-01-29,46.7,"492",NA
"21662",2021-01-29,131.04,"485",NA
"21660",2021-01-28,43.03,"158",NA
"21659",2021-01-28,151.54,"448",NA
"21637",2021-01-28,54.75,"296",NA
"21600",2021-01-27,179.57,"543",NA
"21599",2021-01-27,58.62,"97",NA
"21550",2021-01-27,30.51,"382",NA
"21540",2021-01-26,35.9,"553",NA
"21539",2021-01-26,50.75,"268",NA
"21535",2021-01-25,268.72,"143",NA
"21533",2021-01-25,55.74,"222",NA
"21529",2021-01-25,60.59,"493",NA
"21528",2021-01-25,352.18,"139",NA
"21525",2021-01-24,50.83,"367","mary"
"21524",2021-01-24,24.58,"247",NA
"21523",2021-01-24,180.15,"517","the wandering vine"
