"order_id","product_id","variation_id","quantity"
18407,"1987","2005",1
18407,"1987","2506",2
18407,"1987","2507",2
18407,"1987","9999",3
18408,"6342","15537",2
18409,"16614","16615",1
18409,"1739","17057",1
18409,"9625","13172",1
18410,"17166","17199",2
18410,"17166","17200",2
18410,"17166","17203",2
18410,"17166","17204",1
18411,"1085","9999",5
18411,"1144","9999",1
18411,"15587","15589",1
18411,"1572","9999",6
18411,"2382","15878",4
18411,"2382","17136",2
18411,"2382","17138",3
18411,"3512","16068",3
18417,"16440","16444",1
18417,"16440","16726",1
18417,"16546","16548",1
18417,"2382","17138",1
18419,"16406","9999",3
18419,"17166","17201",1
18419,"17955","17956",1
18419,"605","15120",2
18420,"18165","18166",1
18420,"18165","18167",1
18420,"7860","9246",1
18420,"7860","9247",1
18420,"9625","9999",1
18423,"18281","18282",1
18423,"18281","18283",1
18423,"18281","18284",1
18423,"18281","18286",1
18423,"18281","18287",1
18423,"18281","18288",1
18423,"18281","18289",1
18425,"605","1050",1
18425,"605","1882",1
18429,"6854","7124",23
18430,"18281","18283",2
18430,"18281","18288",2
18430,"1946","15020",1
18432,"1085","9999",2
18433,"16440","16726",1
18433,"17955","17956",1
18435,"1739","17061",2
18436,"16934","9999",1
18439,"13654","9999",2
18440,"10496","10511",1
18440,"10496","10512",1
18440,"10496","10724",1
18440,"13654","16913",1
18440,"1749","18081",1
18440,"1749","18084",1
18440,"1749","18086",1
18440,"17551","17556",1
18440,"17551","17557",1
18440,"17551","17559",1
18440,"17551","17933",1
18440,"1946","14818",1
18440,"1946","15021",1
18440,"1946","1947",1
18440,"6342","15537",1
18440,"6342","16875",1
18440,"9581","10493",1
18440,"9581","13184",1
18440,"9581","9999",1
18441,"12399","12400",1
18441,"12399","12401",1
18441,"12399","12402",1
18441,"12399","12403",1
18444,"1069","9999",2
18444,"13312","9999",1
18444,"16406","9999",1
18444,"16756","16764",1
18446,"1946","14334",1
18446,"1946","2267",1
18447,"18165","18167",1
18447,"18165","18168",1
18450,"16440","9999",3
18451,"6854","7126",2
18453,"17303","17304",1
18453,"17303","17306",3
18454,"15805","15821",2
18454,"15805","15827",2
18454,"15805","15830",3
18454,"16440","9999",6
18455,"17551","17556",4
18458,"1144","9999",2
18459,"13654","16715",1
18459,"13654","17399",1
18459,"18281","18288",1
18461,"10496","10511",3
18461,"17551","17556",1
18461,"17955","17956",2
18461,"17955","17957",4
18461,"17955","18233",2
18461,"17955","18237",2
18461,"2382","2384",2
18463,"2577","6994",1
18464,"12984","17834",1
18465,"1987","2013",2
18466,"1739","15495",3
18466,"1739","16189",3
18466,"1739","6055",3
18467,"16614","16615",2
18467,"17848","18107",2
18467,"18199","18200",2
18467,"18199","18201",2
18469,"18281","18282",1
18469,"18281","18283",1
18469,"18281","18289",1
18470,"9357","16158",1
18471,"16546","16548",1
18471,"16546","16552",1
18471,"16546","16562",1
18471,"16546","9999",1
18471,"3680","9999",2
18472,"12369","12386",1
18472,"13790","13800",1
18472,"16306","16307",1
18472,"17032","18373",1
18472,"6342","15538",1
18472,"9357","16158",1
18473,"1749","18081",1
18474,"18165","18167",1
18475,"6854","7124",5
18476,"13654","9999",1
18476,"16234","9999",1
18476,"16440","17938",1
18476,"16934","9999",1
18476,"17151","9999",1
18476,"18281","18284",1
18476,"18281","18287",1
18476,"18281","18288",1
18476,"5605","5683",1
18476,"9625","13165",1
18478,"16546","16552",1
18478,"16546","16562",1
18479,"12399","12400",4
18479,"12399","12401",3
18479,"12399","12402",6
18479,"12399","12403",8
18479,"13654","9999",1
18479,"17551","17556",1
18479,"17551","17559",1
18479,"18165","18167",1
18479,"9367","15787",2
18481,"1085","9999",2
18481,"2382","15878",2
18482,"1739","15495",1
18482,"1739","16189",1
18482,"1739","6055",1
18483,"16614","16629",2
18483,"16614","16633",1
18483,"1739","12346",1
18483,"1739","17325",1
18483,"1739","2559",2
18483,"1739","3312",1
18483,"7709","16827",1
18484,"16440","9999",1
18484,"2382","2384",1
18485,"1946","14336",1
18485,"1946","14816",1
18485,"1946","15020",1
18486,"3115","7723",2
18488,"1946","15014",1
18490,"15805","15811",1
18490,"15805","15814",1
18490,"15805","15821",1
18490,"15805","15833",1
18490,"16234","9999",1
18490,"18165","18167",1
18490,"2563","9213",1
18490,"2563","9219",1
18490,"2563","9222",1
18490,"2563","9999",1
18490,"3115","16202",1
18490,"3115","7723",1
18490,"9357","16150",1
18490,"9367","15773",1
18490,"9367","15775",1
18490,"9367","17127",1
18490,"9367","9417",1
18491,"1144","1159",3
18491,"1144","1163",3
18492,"1946","15014",1
18492,"1946","1947",1
18493,"16614","16625",1
18493,"17848","18110",1
18494,"17088","9999",1
18494,"9824","9827",1
18494,"9824","9829",1
18494,"9824","9830",1
18496,"16614","16615",1
18496,"16614","16623",1
18499,"15805","15827",1
18499,"2563","9219",2
18499,"2563","9222",2
18499,"9841","9842",1
18499,"9841","9845",1
18499,"9841","9999",2
18501,"10496","10498",7
18502,"13904","13907",1
18502,"14007","14014",2
