"product_id","variation_id","name","color"
"19107","19110","bulky merino wool","crow"
"13654","16071","4/4 cotton yarn","black"
"6854","7124","sun soft linen","plain"
"6854","20773","sun soft linen","indigo"
"2563","9213","fine rayon boucle yarn","natural"
"3680","13155","rayon boucle yarn 3792","natural"
"21095","21099","soft cotton roving with seed","sienna"
"20468","20686","single ply metallic yarn","silver natural"
"2698","2701","duo tone rayon yarn","celadon"
"11161","19655","mini dina","lime"
"6854","20774","sun soft linen","tin reflection"
"6854","20773","sun soft linen","indigo"
"6854","20772","sun soft linen","sienna"
"11161","12660","mini dina","soft blue"
"16440","16448","cotton bash thick and thin","bleach white"
"16440","19374","cotton bash thick and thin","sand"
"16440","19692","cotton bash thick and thin","denim"
"17032","18375","eyelash rayon chenille","dark purple"
"20986","20991","lana loopy","cream puff"
"9625","13165","super fine wool***super special price***","neon"
"2563","9222","fine rayon boucle yarn","brazil"
"2563","9217","fine rayon boucle yarn","periwinkle"
"2563","9213","fine rayon boucle yarn","natural"
"7860","9245","fine wool crepe","pink"
"7860","9246","fine wool crepe","orchid"
"7860","9247","fine wool crepe","teal"
"7860","9248","fine wool crepe","sky blue"
"17955","19802","popcorn yarn","bungalow blue"
"21000","21002","lustrous loopy","cascade"
"16934","21585","organic cotton wool soy linen combo","waterfall"
"19175","19177","variegated rayon chenille","blue hawaiian"
"19175","19178","variegated rayon chenille","mint mojito"
"605","1049","american lamb yarn","blue moon"
"2382","2384","super soft worsted cotton yarn","natural"
"14587","14589","softball skein metallic","rainbow"
"1987","2013","wayfarer yarn","pine forest"
"20204","20206","big chenille 1750 ypp","dark olive"
"1987","3083","wayfarer yarn","rose garden"
"21000","21786","lustrous loopy","deep lilac"
"3680","21888","rayon boucle yarn 3792","silver"
"1739","17063","wool crepe yarn","majorka"
"18977","18979","big wool crepe yarn","seal brown"
"18977","19486","big wool crepe yarn","eggshell"
"20506","21495","three ply metallic yarn","turquoise"
"20506","21491","three ply metallic yarn","green"
"20506","21961","three ply metallic yarn","fuschia black"
"20506","21492","three ply metallic yarn","pink"
"12984","15704","macaw yarn","african gray"
"12984","15701","macaw yarn","cockatoo"
"17088","9999","poly oreo yarn",NA
"16756","16766","wavy 100% bamboo yarn","licorice"
"16246","16254","new mix","d"
"16934","21585","organic cotton wool soy linen combo","waterfall"
"21998","22009","tweedy twin wool","gold finch"
"21998","22007","tweedy twin wool","brick oven"
"21429","21435","cloud yarn",NA
"18354","18355","wool crepe confetti","natural"
"1739","2560","wool crepe yarn","tan"
"6342","16875","shiny worsted rayon boucle","clay"
"20506","21495","three ply metallic yarn","turquoise"
"20506","21487","three ply metallic yarn","copper"
"20506","21486","three ply metallic yarn","black copper"
"17166","17204","metallic diva yarn","banging blue"
"18963","18968","soft cotton roving","blue eyes"
"18963","18966","soft cotton roving","lavender"
"18963","18964","soft cotton roving","rose"
"16756","16766","wavy 100% bamboo yarn","licorice"
"10060","10061","memory yarn",NA
"9841","9845","viscose stretch yarn","natural"
"5605","5680","duet yarns","jade "
"1987","21164","wayfarer yarn","honey mustard"
"1987","19421","wayfarer yarn","bright red"
"1987","2013","wayfarer yarn","pine forest"
"18963","18967","soft cotton roving","sage"
