"product_id","fiber"
22261,"cotton"
22261,"flax / linen"
22261,"rayon / viscose"
22258,"nylon"
22258,"rayon / viscose"
22247,"cotton"
22247,"metallic"
22247,"rayon / viscose"
22209,"rayon / viscose"
22209,"wool"
21998,"rayon / viscose"
21998,"wool"
21551,"rayon / viscose"
21551,"wool"
21095,"cotton"
21429,"cotton"
21429,"flax / linen"
21048,"cotton"
21017,"cotton"
21000,"rayon / viscose"
20986,"wool"
6854,"cotton"
6854,"flax / linen"
6854,"rayon / viscose"
6854,"yarn for indie dyers"
20525,"metallic"
20506,"metallic"
20497,"metallic"
20468,"metallic"
20214,"cotton"
20214,"flax / linen"
20214,"rayon / viscose"
20204,"chenille"
20204,"rayon / viscose"
11161,"cotton"
11161,"rayon / viscose"
19846,"wool"
19708,"cotton"
19708,"flax / linen"
10855,"rayon / viscose"
19207,"rayon / viscose"
19207,"yarn for indie dyers"
19175,"chenille"
19175,"rayon / viscose"
19107,"wool"
19099,"cotton"
19043,"cotton"
18977,"wool"
18970,"cotton"
18970,"metallic"
18963,"cotton"
18952,"cotton"
18952,"rayon / viscose"
19551,"rayon / viscose"
18354,"nylon"
18354,"polyester"
18354,"wool"
18281,"cotton"
18199,"cotton"
18199,"rayon / viscose"
18165,"cotton"
10078,"wool"
17955,"cotton"
17955,"rayon / viscose"
1749,"chenille"
1749,"rayon / viscose"
17848,"cotton"
17848,"rayon / viscose"
8165,"wool"
12357,"wool"
12984,"wool"
13654,"cotton"
2698,"rayon / viscose"
15461,"wool"
14007,"rayon / viscose"
13904,"wool"
13790,"cotton"
13790,"rayon / viscose"
13744,"rayon / viscose"
13744,"wool"
13312,"metallic"
13312,"rayon / viscose"
13312,"wool"
12399,"cotton"
12399,"rayon / viscose"
11180,"cotton"
11180,"rayon / viscose"
10496,"rayon / viscose"
10285,"cotton"
10285,"polyester"
10285,"rayon / viscose"
10060,"cotton"
10060,"wool"
10060,"yarn for indie dyers"
9850,"polyester"
9850,"rayon / viscose"
9824,"polyester"
9581,"rayon / viscose"
9367,"cotton"
9367,"flax / linen"
9367,"rayon / viscose"
9226,"cotton"
9226,"rayon / viscose"
7709,"metallic"
7709,"nylon"
7709,"wool"
6342,"rayon / viscose"
5605,"rayon / viscose"
5605,"wool"
3680,"rayon / viscose"
3512,"metallic"
3512,"polyester"
3512,"rayon / viscose"
3115,"cotton"
3115,"rayon / viscose"
2938,"rayon / viscose"
2586,"metallic"
2577,"cotton"
2577,"polyester"
2577,"rayon / viscose"
2563,"rayon / viscose"
1058,"cotton"
2260,"rayon / viscose"
1946,"chenille"
1946,"rayon / viscose"
1791,"metallic"
1572,"cotton"
1572,"rayon / viscose"
1085,"cotton"
1069,"cotton"
1069,"metallic"
605,"wool"
17551,"rayon / viscose"
17702,"wool"
17410,"rayon / viscose"
17303,"cotton"
17166,"metallic"
17151,"other"
17151,"rayon / viscose"
17088,"polyester"
17032,"chenille"
17032,"rayon / viscose"
16999,"wool"
16934,"cotton"
16934,"flax / linen"
16934,"wool"
16934,"yarn for indie dyers"
16756,"bamboo"
16756,"rayon / viscose"
16614,"wool"
16546,"cotton"
16495,"rayon / viscose"
16440,"cotton"
16287,"wool"
16246,"chenille"
16246,"cotton"
16246,"rayon / viscose"
16246,"wool"
16234,"rayon / viscose"
16047,"cotton"
16047,"flax / linen"
16047,"rayon / viscose"
15805,"rayon / viscose"
15530,"wool"
15587,"cotton"
15587,"rayon / viscose"
15558,"cotton"
15558,"rayon / viscose"
1987,"wool"
1739,"wool"
7860,"wool"
9357,"rayon / viscose"
9625,"wool"
9841,"nylon"
9841,"rayon / viscose"
2382,"cotton"
12680,"cotton"
12680,"rayon / viscose"
15032,"cotton"
15032,"rayon / viscose"
14587,"cotton"
14587,"metallic"
14587,"yarn for indie dyers"
22432,"chenille"
22432,"rayon / viscose"
22371,"chenille"
22371,"cotton"
22371,"rayon / viscose"
