"product_id","meta.yarn_usage"
"19107","tufting"
"13654","tufting"
"6854","crocheting"
"6854"," indie dyeing"
"6854","crocheting"
"6854"," indie dyeing"
"2563","weaving"
"3680","weaving"
"21095","hand knitting"
"20468","resale"
"2698","weaving"
"11161","weaving"
"6854","weaving"
"6854","weaving"
"6854","weaving"
"11161","weaving"
"16440","weaving"
"16440","weaving"
"16440","weaving"
"17032","hand knitting"
"20986","hand knitting"
"9625","hand knitting"
"2563","hand knitting"
"2563","hand knitting"
"2563","hand knitting"
"7860","hand knitting"
"7860","hand knitting"
"7860","hand knitting"
"7860","hand knitting"
"17955","weaving"
"17955"," crocheting"
"21000","weaving"
"21000"," crocheting"
"16934","weaving"
"16934"," crocheting"
"605","crocheting"
"2382","other"
"14587","other"
"1987","hand knitting"
"1987"," crocheting"
"20204","hand knitting"
"20204"," crocheting"
"1987","hand knitting"
"1987"," crocheting"
"21000","machine knitting"
"3680","machine knitting"
"1739","machine knitting"
"18977","machine knitting"
"18977","machine knitting"
