"product_id","yarn_weight"
22261,"lace"
22258,"sport"
22258,"undefined weight"
22247,"lace"
22209,"lace"
21998,"lace"
21551,"lace"
21429,"fingering"
21429,"undefined weight"
21048,"lace"
21017,"bulky"
21017,"undefined weight"
21000,"fingering"
21000,"undefined weight"
20986,"lace"
20986,"undefined weight"
6854,"fingering"
6854,"lace"
20525,"fingering"
20525,"sport"
20506,"lace"
20497,"lace"
20468,"lace"
20214,"fingering"
20214,"sport"
20214,"undefined weight"
20204,"fingering"
20204,"undefined weight"
11161,"lace"
19846,"lace"
19846,"undefined weight"
19708,"lace"
19708,"undefined weight"
10855,"fingering"
10855,"undefined weight"
19207,"lace"
19175,"lace"
19175,"undefined weight"
19107,"bulky"
19099,"lace"
19043,"fingering"
19043,"lace"
19043,"undefined weight"
18977,"lace"
18970,"bulky"
18963,"bulky"
18952,"dk"
19551,"lace"
18354,"lace"
18281,"lace"
18199,"sport"
18165,"lace"
10078,"lace"
10078,"undefined weight"
17955,"dk"
17955,"undefined weight"
1749,"fingering"
1749,"undefined weight"
17848,"fingering"
17848,"sport"
17848,"worsted"
8165,"lace"
12357,"aran"
12357,"undefined weight"
12984,"bulky"
13654,"fingering"
2698,"fingering"
15461,"lace"
14007,"fingering"
14007,"undefined weight"
13904,"lace"
13904,"undefined weight"
13790,"sport"
13790,"undefined weight"
13744,"lace"
13312,"lace"
12399,"undefined weight"
12399,"worsted"
11180,"lace"
11180,"undefined weight"
10496,"fingering"
10496,"undefined weight"
10285,"dk"
10285,"undefined weight"
10060,"sport"
10060,"undefined weight"
9850,"lace"
9850,"undefined weight"
9824,"lace"
9824,"undefined weight"
9581,"lace"
9581,"undefined weight"
9367,"fingering"
9367,"undefined weight"
9226,"lace"
9226,"sport"
9226,"undefined weight"
7709,"lace"
6342,"fingering"
6342,"sport"
6342,"undefined weight"
5605,"fingering"
5605,"lace"
3680,"lace"
3512,"dk"
3512,"worsted"
3115,"lace"
2938,"lace"
2938,"undefined weight"
2586,"lace"
2577,"undefined weight"
2563,"lace"
1058,"dk"
1058,"worsted"
2260,"lace"
1946,"fingering"
1791,"lace"
1572,"bulky"
1572,"worsted"
1085,"bulky"
1069,"bulky"
605,"aran"
605,"bulky"
17551,"lace"
17551,"undefined weight"
17702,"worsted"
17410,"dk"
17410,"undefined weight"
17303,"lace"
17303,"undefined weight"
17166,"lace"
17166,"undefined weight"
17151,"lace"
17088,"lace"
17088,"undefined weight"
17032,"dk"
17032,"undefined weight"
16999,"lace"
16934,"dk"
16756,"worsted"
16614,"fingering"
16614,"lace"
16546,"fingering"
16546,"undefined weight"
16495,"undefined weight"
16440,"fingering"
16440,"undefined weight"
16287,"lace"
16287,"undefined weight"
16246,"aran"
16246,"dk"
16246,"undefined weight"
16246,"worsted"
16234,"lace"
16047,"fingering"
16047,"sport"
16047,"undefined weight"
15805,"lace"
15530,"fingering"
15587,"lace"
15587,"undefined weight"
15558,"lace"
15558,"undefined weight"
1987,"fingering"
1739,"lace"
7860,"lace"
9357,"lace"
9357,"worsted"
9625,"lace"
9841,"lace"
2382,"worsted"
12680,"worsted"
15032,"lace"
15032,"undefined weight"
14587,"bulky"
22432,"bulky"
22432,"undefined weight"
