variable,keep
order_id,1
order_number,0
order_date,1
status,0
shipping_total,0
shipping_tax_total,0
fee_total,0
fee_tax_total,0
tax_total,0
cart_discount,0
order_discount,0
discount_total,0
order_total,0
order_currency,0
payment_method,0
shipping_method,0
customer_id,1
customer_user,0
customer_email,0
billing_first_name,0
billing_last_name,0
billing_company,1
billing_email,1
billing_phone,1
billing_address_1,0
billing_address_2,0
billing_postcode,0
billing_city,0
billing_state,0
billing_country,0
shipping_first_name,0
shipping_last_name,0
shipping_company,0
shipping_address_1,0
shipping_address_2,0
shipping_postcode,0
shipping_city,0
shipping_state,1
shipping_country,1
customer_note,0
wt_import_key,0
shipping_items,0
fee_items,0
tax_items,0
coupon_items,1
refund_items,0
order_notes,0
download_permissions,0
meta._billing_address_index,0
meta._billing_find_us,0
meta._billing_find_us_other,0
meta._cart_discount_tax,0
meta._cart_hash,0
meta._completed_date,0
meta._created_via,0
meta._custom_tracking_link,0
meta._custom_tracking_provider,0
meta._customer_ip_address,0
meta._customer_user_agent,0
meta._date_completed,0
meta._date_paid,0
meta._date_shipped,0
meta._download_permissions_granted,0
meta._edit_last,0
meta._edit_lock,0
meta._find_us,0
meta._find_us_other,0
meta._ga_tracked,0
meta._ivole_cr_consent,0
meta._ivole_review_reminder,0
meta._order_key,0
meta._order_shipping,0
meta._order_shipping_tax,0
meta._order_stock_reduced,0
meta._order_tax,0
meta._order_version,0
meta._paid_date,0
meta._payment_method_title,0
meta._paypal_status,0
meta._prices_include_tax,0
meta._recorded_coupon_usage_counts,0
meta._recorded_sales,0
meta._shipping_address_index,0
meta._shipping_method_title,0
meta._tracking_number,0
meta._tracking_provider,0
meta._transaction_id,0
meta._wc_shipment_tracking_items,0
meta.Download.Permissions.Granted,0
meta.find_us,0
meta.find_us_other,0
meta.is_vat_exempt,0
meta.ivole_secret_key,0
meta.Payer.first.name,0
meta.Payer.last.name,0
meta.Payer.PayPal.address,0
meta.Payment.type,0
meta.PayPal.Transaction.Fee,0
meta.taptap.hide.checkbox,0
meta.Transaction.ID,0
meta.yarn_usage,1
meta.yarn.rep.for.stores.only,0
line_item_1,1
line_item_2,1
line_item_3,1
line_item_4,1
line_item_5,1
line_item_6,1
line_item_7,1
line_item_8,1
line_item_9,1
line_item_10,1
line_item_11,1
line_item_12,1
line_item_13,1
line_item_14,1
line_item_15,1
line_item_16,1
line_item_17,1
line_item_18,1
line_item_19,1
line_item_20,1
line_item_21,1
line_item_22,1
line_item_23,1
line_item_24,1
line_item_25,1
line_item_26,1
line_item_27,1
line_item_28,1
line_item_29,1
line_item_30,1
line_item_31,1
line_item_32,1
line_item_33,1
line_item_34,1
line_item_35,1
line_item_36,1
line_item_37,1
line_item_38,1
line_item_39,1
line_item_40,1
line_item_41,1
line_item_42,1
line_item_43,1
line_item_44,1
line_item_45,1
line_item_46,1
line_item_47,1
line_item_48,1
line_item_49,1
line_item_50,1
line_item_51,1
line_item_52,1
line_item_53,1
line_item_54,1
line_item_55,1
line_item_56,1
line_item_57,1
line_item_58,1
line_item_59,1
