variable,keep
ID,1
Type,1
SKU,0
Name,1
Published,0
Is.featured.,0
Visibility.in.catalog,0
Short.description,0
Description,0
Date.sale.price.starts,0
Date.sale.price.ends,0
Tax.status,0
Tax.class,0
In.stock.,0
Stock,0
Low.stock.amount,0
Backorders.allowed.,0
Sold.individually.,0
Weight..lbs.,0
Length..in.,0
Width..in.,0
Height..in.,0
Allow.customer.reviews.,0
Purchase.note,0
Sale.price,0
Regular.price,0
Categories,1
Tags,0
Shipping.class,0
Images,0
Download.limit,0
Download.expiry.days,0
Parent,0
Grouped.products,0
Upsells,0
Cross.sells,0
External.URL,0
Button.text,0
Position,0
Attribute.1.name,1
Attribute.1.value.s.,1
Attribute.1.visible,0
Attribute.1.global,0
Meta..taptap.hide.checkbox,0
Meta..send_coupons_on_renewals,0
Meta..wholesale_price,0
Meta..wholesale_price_text,0
Meta.._product_addons_exclude_global,0
Meta..product_image_gallery_._gallery_number_only,0
Meta.._product_image_gallery_._gallery_number_only,0
Meta..product_image_gallery,0
Meta.._yoast_wpseo_primary_product_cat,0
Meta.._yoast_wpseo_content_score,0
Meta..min_variation_wholesale_price,0
Meta..max_variation_wholesale_price,0
Attribute.2.name,1
Attribute.2.value.s.,1
Attribute.2.visible,0
Attribute.2.global,0
Meta.._wc_restrictions_purchase,0
Meta.._wc_restrictions_price,0
Meta.._min_variation_price,0
Meta.._max_variation_price,0
Meta.._min_price_variation_id,0
Meta.._max_price_variation_id,0
Meta.._min_variation_regular_price,0
Meta.._max_variation_regular_price,0
Meta.._min_regular_price_variation_id,0
Meta.._max_regular_price_variation_id,0
Meta.._min_variation_sale_price,0
Meta.._max_variation_sale_price,0
Meta.._min_sale_price_variation_id,0
Meta.._max_sale_price_variation_id,0
Meta.._yoast_wpseo_primary_product_shipping_class,0
Meta.._yoast_wpseo_primary_vtprd_rule_category,0
Meta.._wp_old_date,0
Meta.._yoast_wpseo_sitemap.html.include,0
Meta..dsq_thread_id,0
Meta.._product_addons_converted,0
Meta.._oembed_6e02f9974111d66c609da67bdea7d8c1,0
Meta.._oembed_cbce20e14bf7610de133d2c5bec7d874,0
Meta.._oembed_3775c6003b1de47e9be9bafc211696dd,0
Meta.._oembed_f6a2ee8d3a46dd8f331f190a76db51f6,0
Meta.._oembed_5924269c900aa8baeb5d196f7064ffd3,0
Meta.._oembed_932dd2132e6ef7e1156a225f0c714812,0
Meta.._oembed_fa5a9434e7e60917360cbee3ea396585,0
Meta.._oembed_797b06ffc4f63f39d18a70c650eedbab,0
Meta.._oembed_1456b9e6b195c86bf30fa7e40da6dd74,0
Meta.._oembed_38e9c6af09c0dedef7df1daf82efa929,0
Meta.._oembed_51ae848238005865adddeb0ea04454de,0
Meta.._oembed_4a9e1d3508b1a2bba5ad97893d73e9a3,0
Meta.._oembed_a7ead27da8137f699384056055934258,0
Meta.._oembed_7c0a0bc10a0cb57fbcd0d966c8b45a2b,0
Meta.._oembed_63417ed630e33d59c99f7daa3e71f7c5,0
Meta.._oembed_c82e33312c5db856b51016df70d86188,0
Meta.._oembed_c179c878cf57a1933d8f128606a3063d,0
Meta.._oembed_60ce9f939cd7eb407666ed46b3b1353f,0
Meta.._oembed_a38abca3aa3ceb97738b0f2a07063112,0
Meta.._oembed_6c0921b0023f062c7227df00af637d86,0
Meta.._oembed_a451b276d94ff47c6593904bee9dcbf2,0
Meta.._oembed_f54d5dfbba8636883d51e6774b546b63,0
Meta.._oembed_d94c1297c0baeba61035e4dbec299c1e,0
Meta.._oembed_aa80a2fc92b2f6488a2dfe43fbd5ba33,0
Meta.._oembed_f725ca589969eeca9efd6f0b1a0a7884,0
Meta.._oembed_c56833862ca00a3e155d686be3085934,0
Meta.._oembed_d7785cbcf6b98b7c0695f4f799cbdb10,0
Meta.._oembed_96c92f0b57e824fd8507b6f201e49526,0
Meta.._oembed_2fd3991bc76bdbfaba04f2d6bdf1a055,0
Meta.._oembed_e70be19ced00b5d545f1b48ef650ed64,0
Meta.._oembed_58665f373a9c5b8a769d00cc558823f1,0
Meta.._oembed_90a3310ddc247f091d8d56adf9b0dacc,0
Meta.._oembed_35198a6ae339b7bc0b777390e7b5ba5d,0
Meta.._oembed_099aed329de759ceb2fb65b195e5e2db,0
Meta.._oembed_e79b14d105d670119b2aa665e6c0535a,0
Meta.._oembed_3127ef300f0003b1f908a74b0a0abfe1,0
Meta.._oembed_789e36c6021ee1323a6230e30ef57bf6,0
Meta.._oembed_d4554240da675c213e9dfacac17fd216,0
Meta.._oembed_568030ecec9fe44cda242c08689ed778,0
Meta.._wc_restrictions,0
Meta.._oembed_957f753d2b073444e774ef733ab59001,0
Meta.._yoast_wpseo_metadesc,0
Meta.._yoast_wpseo_focuskw,0
Meta.._yoast_wpseo_title,0
Meta.._yoast_wpseo_linkdex,0
