"product_id","variation_id","name","color","hue1","hue2","hue3","hue4","hue5","hue6"
"10060","10061","memory yarn","cotton memory","natural","","","","",NA
"10060","10073","memory yarn","wool chain","natural","","","","",NA
"10078","18075","speck","coffee and cream","brown","","","","",NA
"10078","18190","speck","oreo cookie","natural","","","","",NA
"10285","10863","swirl yarn","oreo","black","white","","","",NA
"10496","10718","worsted rayon boucle","blueberry","blue","","","","",NA
"10496","10726","worsted rayon boucle","fuchsia","pink","","","","",NA
"10496","10727","worsted rayon boucle","purple","purple","","","","",NA
"1058","3382","florafil yarn super soft cotton | worsted","brown galingale","black","brown","purple","white","pink",NA
"1069","1071","florafil metallic yarn | bulky","coral hibiscus with","pink","red","green","","",NA
"1085","1086","florafil super soft cotton yarn | bulky","aster","pink","purple","blue","","",NA
"1085","1088","florafil super soft cotton yarn | bulky","brown galingale","black","brown","purple","white","pink",NA
"1085","1089","florafil super soft cotton yarn | bulky","blue hyacinth","blue","","","","",NA
"1085","1091","florafil super soft cotton yarn | bulky","coral hibiscus","pink","red","green","","",NA
"1085","1092","florafil super soft cotton yarn | bulky","chocolate lily","blue","","","","",NA
"1085","1095","florafil super soft cotton yarn | bulky","green chrysanthemum","green","","","","",NA
"1085","1096","florafil super soft cotton yarn | bulky","helenium mardi gras","brown","yellow","orange","","",NA
"1085","1097","florafil super soft cotton yarn | bulky","indian paintbrush","red","","","","",NA
"1085","1100","florafil super soft cotton yarn | bulky","pink coneflower","pink","","","","",NA
"1085","1101","florafil super soft cotton yarn | bulky","pink phlox","pink","","","","",NA
"1085","1102","florafil super soft cotton yarn | bulky","red hibiscus","red","pink","","","",NA
"1085","1103","florafil super soft cotton yarn | bulky","yellow cinquefoil","yellow","","","","",NA
"1085","1383","florafil super soft cotton yarn | bulky","white lily","white","","","","",NA
"1085","1384","florafil super soft cotton yarn | bulky","navy bellflower","blue","","","","",NA
"1085","19731","florafil super soft cotton yarn | bulky","natural cotton","natural","","","","",NA
"1085","22300","florafil super soft cotton yarn | bulky","blue flag iris","pink","white","yellow","green","purple",NA
"1085","2517","florafil super soft cotton yarn | bulky","marigold","orange","","","","",NA
"10855","13050","shades of sunset","sunset blue","blue","","","","",NA
"10855","13051","shades of sunset","sunset red","red","","","","",NA
"10855","14306","shades of sunset","sunset purple","purple","","","","",NA
"10855","14805","shades of sunset","sunset green","green","","","","",NA
"10855","19861","shades of sunset","sunset red","red","","","","",NA
"10855","19862","shades of sunset","sunset purple","purple","","","","",NA
"11161","11162","mini dina","natural","natural","","","","",NA
"11161","11163","mini dina","white","white","","","","",NA
"11161","12660","mini dina","soft blue","blue","","","","",NA
"11161","12661","mini dina","sunflower","yellow","","","","",NA
"11161","12676","mini dina","red","red","","","","",NA
"11161","19366","mini dina","silver","gray","","","","",NA
"11161","19367","mini dina","light copper","orange","","","","",NA
"11161","19654","mini dina","cascade navy","blue","","","","",NA
"11161","19655","mini dina","lime","green","","","","",NA
"11180","12635","seeded ratton (avanti)","sunflower","yellow","","","","",NA
"11180","12638","seeded ratton (avanti)","soft blue","blue","","","","",NA
"11180","12639","seeded ratton (avanti)","natural","natural","","","","",NA
"11180","13992","seeded ratton (avanti)","dark navy","blue","","","","",NA
"11180","13994","seeded ratton (avanti)","black","black","","","","",NA
"11180","19883","seeded ratton (avanti)","purple plum","purple","","","","",NA
"12357","12362","fiesta wool","natural","natural","","","","",NA
"12357","12363","fiesta wool","limestone","brown","","","","",NA
"12357","12364","fiesta wool","sombrero","yellow","","","","",NA
"12357","17799","fiesta wool","red pepper","red","","","","",NA
"12357","17800","fiesta wool","purple pinata","purple","","","","",NA
"12357","17801","fiesta wool","cactus","green","","","","",NA
"12357","17802","fiesta wool","blue agave","blue","","","","",NA
"12357","17803","fiesta wool","jalapeno","green","","","","",NA
"12357","21663","fiesta wool","stone","gray","","","","",NA
"12399","12400","cotton rayon yarn","bark","brown","","","","",NA
"12399","12401","cotton rayon yarn","indigo","blue","purple","","","",NA
"12399","12402","cotton rayon yarn","suede","yellow","brown","","","",NA
"12399","12403","cotton rayon yarn","sade","orange","brown","","","",NA
"12408","1111","oreo seed yarn",NA,"black","white","","","",NA
"12680","12713","shimmer yarn","blue cornflower","blue","","","","",NA
