"id","name","type","categories","attribute.1.name","attribute.1.value.s.","attribute.2.name","attribute.2.value.s."
22325,"big rayon boucle - natural","variation","","color","natural","",""
22324,"big rayon boucle - black","variation","","color","black","",""
22323,"big worsted rayon boucle","simple","big cones, made in usa, fiber > rayon / viscose, yarn weight > worsted, yarn for indie dyers","","","",""
22322,"big mini lumpy cotton rayon","simple","big cones, fiber > cotton, yarn weight > lace, made in usa, fiber > rayon / viscose, yarn weight > undefined weight, yarn for indie dyers","","","",""
22317,"twister cotton","simple","big cones, fiber > cotton, yarn weight > fingering, made in usa, yarn for indie dyers","","","",""
22300,"florafil super soft cotton yarn | bulky - blue flag iris","variation","","color","blue flag iris","",""
22273,"poly oreo yarn - double stuffed","variation","","color","double stuffed","",""
22272,"poly oreo yarn - single stuffed","variation","","color","single stuffed","",""
22270,"thick and thin cotton with linen - coal","variation","","colors","coal","",""
22264,"scallop rayon","simple","big cones, yarn weight > lace, made in usa, fiber > rayon / viscose","","","",""
22261,"crimped cotton flax","variable","fiber > cotton, fiber > flax / linen, yarn weight > lace, made in usa, fiber > rayon / viscose","color","black, natural","",""
22262,"crimped cotton flax - black","variation","","color","black","",""
22263,"crimped cotton flax - natural","variation","","color","natural","",""
22258,"pig tail","variable","made in usa, fiber > nylon, fiber > rayon / viscose, yarn weight > sport, yarn weight > undefined weight","color","black, natural","",""
22260,"pig tail - natural","variation","","color","natural","",""
22259,"pig tail - black","variation","","color","black","",""
22247,"silky sparkle","variable","fiber > cotton, yarn weight > lace, made in usa, fiber > metallic, fiber > rayon / viscose","color","black, natural","",""
22249,"silky sparkle - natural","variation","","color","natural","",""
22248,"silky sparkle - black","variation","","color","black","",""
22215,"radiant wool rayon (test)",NA,NA,"color","gala garnet","put-up","skein (100g)"
22210,"radiant wool rayon (test)",NA,NA,"color","lilac luster","put-up","skein (100g)"
22211,"radiant wool rayon (test)",NA,NA,"color","vigorous violet","put-up","skein (100g)"
22213,"radiant wool rayon (test)",NA,NA,"color","honey crystal","put-up","skein (100g)"
22209,"radiant wool rayon (test)",NA,"yarn weight > lace, made in usa, fiber > rayon / viscose, fiber > wool","color","lilac luster, vigorous violet, honey crystal, gala garnet","put-up","skein (100g), cone (0.7 lb)"
22162,"soft cotton roving: baby colors - buttercup, no seeds","variation","","color","buttercup","seeds","no seeds"
22161,"soft cotton roving: baby colors - lavender, no seeds","variation","","color","lavender","seeds","no seeds"
22159,"soft cotton roving: baby colors - blue flag iris, no seeds","variation","","color","blue flag iris","seeds","no seeds"
22141,"rayon boucle yarn 3792 - mauve","variation","","color","mauve","",""
22140,"rayon boucle yarn 3792 - dark purple","variation","","color","dark purple","",""
22139,"rayon boucle yarn 3792 - soft rose","variation","","color","soft rose","",""
22138,"rayon boucle yarn 3792 - kale","variation","","color","kale","",""
22124,"rayon chenille yarn 1300 ypp - soft rose, 0.7-0.9 lbs per cone","variation","","color","soft rose","weight","0.7-0.9 lbs per cone"
22123,"rayon chenille yarn 1300 ypp - mauve, 0.7-0.9 lbs per cone","variation","","color","mauve","weight","0.7-0.9 lbs per cone"
22122,"rayon chenille yarn 1300 ypp - kale, 0.7-0.9 lbs per cone","variation","","color","kale","weight","0.7-0.9 lbs per cone"
22113,"shimmer yarn - natural","variation","","colors","natural","",""
22110,"florafil shimmer yarn - natural","variation","","color","natural","",""
22042,"super soft worsted cotton yarn - baby pink","variation","","color","baby pink","",""
22041,"super soft worsted cotton yarn - baby blue","variation","","color","baby blue","",""
22037,"soft cotton roving: baby colors - blue eyes, no seeds","variation","","color","blue eyes","seeds","no seeds"
22036,"soft cotton roving: baby colors - rose, no seeds","variation","","color","rose","seeds","no seeds"
22026,"shimmer yarn - green chrysanthemum","variation","","colors","green chrysanthemum","",""
22025,"shimmer yarn - aster","variation","","colors","aster","",""
22024,"shimmer yarn - pink coneflower","variation","","colors","pink coneflower","",""
21998,"tweedy twin wool","variable","yarn weight > lace, made in usa, fiber > rayon / viscose, fiber > wool","color","foggy evening, chateau brown, purple galaxy, dusty feather, brick oven, gold finch","tweed color","rainbow, black"
22008,"tweedy twin wool","variation","","color","brick oven","tweed color","black"
22009,"tweedy twin wool","variation","","color","gold finch","tweed color","rainbow"
22010,"tweedy twin wool","variation","","color","gold finch","tweed color","black"
22003,"tweedy twin wool","variation","","color","purple galaxy","tweed color","rainbow"
22004,"tweedy twin wool","variation","","color","purple galaxy","tweed color","black"
