variable,keep
post_title,1
ID,1
post_excerpt,1
post_status,0
post_date,1
post_author,0
discount_type,1
coupon_amount,1
individual_use,1
product_ids,1
product_SKUs,0
exclude_product_ids,1
exclude_product_SKUs,0
usage_count,1
usage_limit,1
usage_limit_per_user,1
limit_usage_to_x_items,1
expiry_date,1
date_expires,0
free_shipping,1
exclude_sale_items,1
product_categories,1
exclude_product_categories,1
minimum_amount,1
maximum_amount,1
customer_email,1
meta._edit_last,0
meta._edit_lock,0
meta._members_access_role,0
meta._used_by,0
meta._wp_old_date,0
meta._yoast_wpseo_metadesc,0
meta._yoast_wpseo_sitemap.html.include,0
meta._yoast_wpseo_title,0
meta.apply_before_tax,0
meta.auto_generate_coupon,1
meta.coupon_amount,0
meta.coupon_title_prefix,1
meta.coupon_title_suffix,1
meta.customer_email,0
meta.date_expires,1
meta.discount_type,0
meta.exclude_product_categories,0
meta.exclude_product_ids,0
meta.exclude_sale_items,0
meta.expiry_date,0
meta.free_shipping,0
meta.individual_use,0
meta.is_pick_price_of_product,0
meta.limit_usage_to_x_items,0
meta.maximum_amount,0
meta.minimum_amount,0
meta.product_categories,0
meta.product_ids,0
meta.sa_cbl_billing_locations,1
meta.sa_cbl_locations_lookup_in,1
meta.sc_coupon_validity,1
meta.sc_disable_email_restriction,1
meta.sc_is_visible_storewide,0
meta.sc_restrict_to_new_user,1
meta.taptap.hide.checkbox,0
meta.usage_count,0
meta.usage_limit,0
meta.usage_limit_per_user,0
meta.validity_suffix,1
meta.wc_coupon_message,0
meta.wc_email_message,0
meta.wc_sc_add_product_details,0
meta.wc_sc_auto_apply_coupon,0
meta.wc_sc_exclude_product_attribute_ids,1
meta.wc_sc_exclude_user_role_ids,1
meta.wc_sc_expiry_time,0
meta.wc_sc_max_discount,0
meta.wc_sc_payment_method_ids,0
meta.wc_sc_product_attribute_ids,1
meta.wc_sc_shipping_method_ids,1
meta.wc_sc_taxonomy_restrictions,1
meta.wc_sc_user_role_ids,1
