"order_id","product_id","variation_id","quantity","order_date","customer_type","coupon","meta.yarn_usage","name","color","hue1","hue2","hue3","hue4","hue5","hue6","fiber","yarn_weight","effect","order_year","order_month","order_week"
"21281","11161","11162",2,2021-01-01,"guest","hello2021","unassigned","mini dina","natural","natural","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","11162",2,2021-01-01,"guest","hello2021","unassigned","mini dina","natural","natural","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","11163",3,2021-01-01,"guest","hello2021","unassigned","mini dina","white","white","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","11163",3,2021-01-01,"guest","hello2021","unassigned","mini dina","white","white","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","12660",2,2021-01-01,"guest","hello2021","unassigned","mini dina","soft blue","blue","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","12660",2,2021-01-01,"guest","hello2021","unassigned","mini dina","soft blue","blue","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","12661",2,2021-01-01,"guest","hello2021","unassigned","mini dina","sunflower","yellow","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","12661",2,2021-01-01,"guest","hello2021","unassigned","mini dina","sunflower","yellow","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","12676",3,2021-01-01,"guest","hello2021","unassigned","mini dina","red","red","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","12676",3,2021-01-01,"guest","hello2021","unassigned","mini dina","red","red","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","19366",3,2021-01-01,"guest","hello2021","unassigned","mini dina","silver","gray","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","19366",3,2021-01-01,"guest","hello2021","unassigned","mini dina","silver","gray","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","19367",2,2021-01-01,"guest","hello2021","unassigned","mini dina","light copper","orange","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","19367",2,2021-01-01,"guest","hello2021","unassigned","mini dina","light copper","orange","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","19654",1,2021-01-01,"guest","hello2021","unassigned","mini dina","cascade navy","blue","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","19654",1,2021-01-01,"guest","hello2021","unassigned","mini dina","cascade navy","blue","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","11161","19655",1,2021-01-01,"guest","hello2021","unassigned","mini dina","lime","green","","","","",NA,"cotton","lace","straight",2021,1,1
"21281","11161","19655",1,2021-01-01,"guest","hello2021","unassigned","mini dina","lime","green","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","16234","18816",1,2021-01-01,"guest","hello2021","unassigned","5/1 spun rayon","0.8 lbs per cone","natural","","","","",NA,"rayon / viscose","lace","straight",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","aran","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","aran","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","dk","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","dk","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","undefined weight","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","undefined weight","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","worsted","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"chenille","worsted","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","aran","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","aran","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","dk","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","dk","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","undefined weight","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","undefined weight","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","worsted","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"cotton","worsted","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"rayon / viscose","aran","chenille",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"rayon / viscose","aran","undulating",2021,1,1
"21281","16246","16248",3,2021-01-01,"guest","hello2021","unassigned","new mix","a","red","orange","brown","","",NA,"rayon / viscose","dk","chenille",2021,1,1
